Title:               13.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB13Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  12.59
1984-02-01  12.50
1984-03-01  12.87
1984-04-01  12.89
1984-05-01  13.19
1984-06-01  13.13
1984-07-01  13.19
1984-08-01  12.83
1984-09-01  12.67
1984-10-01  12.88
1984-11-01  12.58
1984-12-01  12.41
1985-01-01  12.27
1985-02-01  12.36
1985-03-01  12.69
1985-04-01  12.37
1985-05-01  12.07
1985-06-01  11.70
1985-07-01  11.64
1985-08-01  11.50
1985-09-01  11.46
1985-10-01  11.22
1985-11-01  10.83
1985-12-01  10.61
1986-01-01  10.18
1986-02-01  10.01
1986-03-01   9.65
1986-04-01   9.29
1986-05-01   9.20
1986-06-01   9.31
1986-07-01   9.45
1986-08-01   9.28
1986-09-01   9.34
1986-10-01   9.48
1986-11-01   9.38
1986-12-01   9.14
1987-01-01   8.72
1987-02-01   8.76
1987-03-01   8.65
1987-04-01   9.22
1987-05-01   9.67
1987-06-01   9.74
1987-07-01   9.93
1987-08-01  10.19
1987-09-01  10.70
1987-10-01  10.88
1987-11-01  10.35
1987-12-01  10.38
1988-01-01  10.09
1988-02-01   9.62
1988-03-01   9.66
1988-04-01   9.89
1988-05-01  10.19
1988-06-01  10.09
1988-07-01  10.15
1988-08-01  10.25
1988-09-01  10.04
1988-10-01   9.84
1988-11-01   9.86
1988-12-01   9.90
1989-01-01   9.83
1989-02-01   9.86
1989-03-01  10.01
1989-04-01   9.87
1989-05-01   9.68
1989-06-01   9.23
1989-07-01   8.98
1989-08-01   8.97
1989-09-01   9.06
1989-10-01   8.95
1989-11-01   8.88
1989-12-01   8.95
1990-01-01   9.20
1990-02-01   9.43
1990-03-01   9.45
1990-04-01   9.60
1990-05-01   9.61
1990-06-01   9.41
1990-07-01   9.42
1990-08-01   9.70
1990-09-01   9.86
1990-10-01   9.88
1990-11-01   9.78
1990-12-01   9.57
1991-01-01   9.54
1991-02-01   9.32
1991-03-01   9.43
1991-04-01   9.28
1991-05-01   9.28
1991-06-01   9.38
1991-07-01   9.38
1991-08-01   9.15
1991-09-01   8.98
1991-10-01   8.93
1991-11-01   8.91
1991-12-01   8.55
1992-01-01   8.37
1992-02-01   8.63
1992-03-01   8.73
1992-04-01   8.67
1992-05-01   8.62
1992-06-01   8.48
1992-07-01   8.21
1992-08-01   7.98
1992-09-01   7.85
1992-10-01   8.00
1992-11-01   8.21
1992-12-01   8.09
1993-01-01   7.96
1993-02-01   7.63
1993-03-01   7.37
1993-04-01   7.36
1993-05-01   7.39
1993-06-01   7.30
1993-07-01   7.10
1993-08-01   6.94
