Title:               3-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB3YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  11.61
1984-02-01  11.73
1984-03-01  12.01
1984-04-01  12.35
1984-05-01  13.02
1984-06-01  13.38
1984-07-01  13.40
1984-08-01  12.84
1984-09-01  12.77
1984-10-01  12.51
1984-11-01  11.94
1984-12-01  11.71
1985-01-01  11.58
1985-02-01  11.31
1985-03-01  11.57
1985-04-01  11.13
1985-05-01  10.58
1985-06-01  10.01
1985-07-01  10.03
1985-08-01  10.15
1985-09-01  10.15
1985-10-01  10.00
1985-11-01   9.66
1985-12-01   9.23
1986-01-01   9.18
1986-02-01   8.92
1986-03-01   8.40
1986-04-01   8.11
1986-05-01   8.19
1986-06-01   8.40
1986-07-01   8.07
1986-08-01   7.93
1986-09-01   7.84
1986-10-01   7.79
1986-11-01   7.56
1986-12-01   7.41
1987-01-01   7.26
1987-02-01   7.33
1987-03-01   7.30
1987-04-01   7.82
1987-05-01   8.39
1987-06-01   8.38
1987-07-01   8.38
1987-08-01   8.61
1987-09-01   9.20
1987-10-01   9.42
1987-11-01   8.79
1987-12-01   8.85
1988-01-01   8.64
1988-02-01   8.31
1988-03-01   8.33
1988-04-01   8.52
1988-05-01   8.70
1988-06-01   8.77
1988-07-01   8.93
1988-08-01   9.20
1988-09-01   9.16
1988-10-01   9.06
1988-11-01   9.31
1988-12-01   9.66
1989-01-01   9.79
1989-02-01   9.85
1989-03-01  10.20
1989-04-01  10.25
1989-05-01   9.89
1989-06-01   9.32
1989-07-01   8.94
1989-08-01   8.94
1989-09-01   9.10
1989-10-01   8.90
1989-11-01   8.73
1989-12-01   8.74
1990-01-01   9.02
1990-02-01   9.26
1990-03-01   9.34
