Title:               34-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB34YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   9.72
1984-02-01  10.95
1984-03-01  11.33
1984-04-01  11.57
1984-05-01  12.45
1984-06-01  12.63
1984-07-01  12.53
1984-08-01  12.06
1984-09-01  12.40
1984-10-01  10.79
1984-11-01  10.64
1984-12-01  11.42
1985-01-01  11.11
1985-02-01  10.28
1985-03-01  10.55
1985-04-01  10.39
1985-05-01  10.30
1985-06-01   9.89
1985-07-01  10.79
1985-08-01  11.06
1985-09-01  11.50
1985-10-01  11.36
1985-11-01  10.90
1985-12-01  10.36
1986-01-01   9.54
1986-02-01   9.63
1986-03-01   8.79
1986-04-01   8.47
1986-05-01   9.25
1986-06-01   9.86
1986-07-01   9.56
1986-08-01   9.70
1986-09-01   9.86
1986-10-01   9.97
1986-11-01   9.73
1986-12-01   9.45
1987-01-01   9.34
1987-02-01   9.30
1987-03-01   9.28
1987-04-01  10.07
1987-05-01  10.75
1987-06-01  10.36
1987-07-01  10.18
1987-08-01  10.27
1987-09-01  10.54
1987-10-01  10.57
1987-11-01   9.98
1987-12-01  10.09
1988-01-01   9.57
1988-02-01   9.35
1988-03-01   9.58
1988-04-01  10.12
1988-05-01  10.50
1988-06-01  10.20
1988-07-01  10.36
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.89
1988-11-01   9.85
1988-12-01   9.80
1989-01-01   9.84
1989-02-01   9.92
1989-03-01   9.93
1989-04-01   9.74
1989-05-01   9.63
1989-06-01   9.25
1989-07-01   9.23
1989-08-01   9.21
1989-09-01   9.21
1989-10-01   9.10
1989-11-01   9.00
1989-12-01   8.95
1990-01-01   9.06
1990-02-01   9.31
1990-03-01   9.49
1990-04-01   9.62
1990-05-01   9.84
1990-06-01   9.65
1990-07-01   9.70
1990-08-01  10.34
1990-09-01  10.54
1990-10-01  10.62
1990-11-01  10.33
1990-12-01  10.01
1991-01-01   9.96
1991-02-01   9.62
1991-03-01   9.88
1991-04-01   9.70
1991-05-01   9.83
1991-06-01  10.05
1991-07-01  10.01
1991-08-01   9.72
1991-09-01   9.59
1991-10-01   9.79
1991-11-01   9.86
1991-12-01   9.83
1992-01-01   9.77
1992-02-01   9.77
1992-03-01   9.73
1992-04-01   9.67
1992-05-01   9.54
1992-06-01   9.49
1992-07-01   9.51
1992-08-01   9.44
1992-09-01   9.51
1992-10-01   9.84
1992-11-01   9.67
1992-12-01   9.27
1993-01-01   9.22
1993-02-01   8.95
1993-03-01   8.67
1993-04-01   8.81
1993-05-01   8.94
1993-06-01   8.77
1993-07-01   8.48
1993-08-01   8.01
1993-09-01   7.88
1993-10-01   7.90
1993-11-01   8.13
1993-12-01   8.06
1994-01-01   8.07
1994-02-01   8.15
1994-03-01   8.41
1994-04-01   8.70
1994-05-01   8.68
1994-06-01   8.77
1994-07-01   8.88
1994-08-01   8.81
1994-09-01   9.11
1994-10-01   9.21
1994-11-01   9.22
1994-12-01   8.82
1995-01-01   8.85
1995-02-01   8.78
1995-03-01   8.83
1995-04-01   8.82
1995-05-01   8.39
1995-06-01   8.07
1995-07-01   8.27
1995-08-01   8.39
1995-09-01   8.15
1995-10-01   7.87
1995-11-01   7.72
1995-12-01   7.51
1996-01-01   7.51
1996-02-01   7.85
1996-03-01   8.17
1996-04-01   8.30
1996-05-01   8.28
1996-06-01   8.36
1996-07-01   8.30
1996-08-01   8.10
1996-09-01   8.31
1996-10-01   8.09
1996-11-01   7.79
1996-12-01   7.85
1997-01-01   8.05
1997-02-01   7.94
1997-03-01   8.18
1997-04-01   8.37
1997-05-01   8.27
1997-06-01   8.12
1997-07-01   7.81
1997-08-01   7.84
1997-09-01   7.78
1997-10-01   7.64
1997-11-01   7.45
1997-12-01   7.27
1998-01-01   7.20
1998-02-01   7.28
1998-03-01   7.27
1998-04-01   7.22
1998-05-01   7.18
1998-06-01   6.95
1998-07-01   7.02
1998-08-01   7.05
1998-09-01   7.27
1998-10-01   7.43
1998-11-01   7.41
1998-12-01   7.16
1999-01-01   7.16
1999-02-01   7.19
1999-03-01   7.36
1999-04-01   7.35
1999-05-01   7.57
1999-06-01   7.80
1999-07-01   7.78
1999-08-01   7.99
1999-09-01   8.12
