Title:               78-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB78YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:53 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   8.58
1984-02-01  10.34
1984-03-01  10.72
1984-04-01  11.06
1984-05-01  12.17
1984-06-01  12.47
1984-07-01  12.30
1984-08-01  11.78
1984-09-01  12.32
1984-10-01   9.97
1984-11-01   9.87
1984-12-01  11.02
1985-01-01  10.65
1985-02-01   9.45
1985-03-01   9.69
1985-04-01   9.59
1985-05-01   9.58
1985-06-01   9.16
1985-07-01  10.44
1985-08-01  10.89
1985-09-01  11.52
1985-10-01  11.43
1985-11-01  10.94
1985-12-01  10.26
1986-01-01   9.29
1986-02-01   9.48
1986-03-01   8.44
1986-04-01   8.14
1986-05-01   9.27
1986-06-01  10.09
1986-07-01   9.59
1986-08-01   9.86
1986-09-01  10.05
1986-10-01  10.15
1986-11-01   9.84
1986-12-01   9.55
1987-01-01   9.57
1987-02-01   9.50
1987-03-01   9.51
1987-04-01  10.40
1987-05-01  11.17
1987-06-01  10.59
1987-07-01  10.25
1987-08-01  10.28
1987-09-01  10.46
1987-10-01  10.43
1987-11-01   9.82
1987-12-01   9.96
1988-01-01   9.36
1988-02-01   9.23
1988-03-01   9.53
1988-04-01  10.21
1988-05-01  10.62
1988-06-01  10.24
1988-07-01  10.43
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.91
1988-11-01   9.84
1988-12-01   9.77
1989-01-01   9.84
1989-02-01   9.95
1989-03-01   9.90
1989-04-01   9.70
1989-05-01   9.62
1989-06-01   9.25
1989-07-01   9.33
