Title:               38-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB38YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   9.51
1984-02-01  10.84
1984-03-01  11.22
1984-04-01  11.47
1984-05-01  12.40
1984-06-01  12.60
1984-07-01  12.49
1984-08-01  12.01
1984-09-01  12.39
1984-10-01  10.64
1984-11-01  10.50
1984-12-01  11.35
1985-01-01  11.03
1985-02-01  10.13
1985-03-01  10.39
1985-04-01  10.24
1985-05-01  10.16
1985-06-01   9.76
1985-07-01  10.72
1985-08-01  11.03
1985-09-01  11.50
1985-10-01  11.38
1985-11-01  10.91
1985-12-01  10.34
1986-01-01   9.49
1986-02-01   9.60
1986-03-01   8.72
1986-04-01   8.41
1986-05-01   9.25
1986-06-01   9.91
1986-07-01   9.56
1986-08-01   9.73
1986-09-01   9.90
1986-10-01  10.00
1986-11-01   9.75
1986-12-01   9.47
1987-01-01   9.38
1987-02-01   9.34
1987-03-01   9.32
1987-04-01  10.13
1987-05-01  10.82
1987-06-01  10.40
1987-07-01  10.19
1987-08-01  10.27
1987-09-01  10.53
1987-10-01  10.55
1987-11-01   9.95
1987-12-01  10.06
