Title:               37-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB37YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   9.55
1984-02-01  10.86
1984-03-01  11.25
1984-04-01  11.50
1984-05-01  12.41
1984-06-01  12.61
1984-07-01  12.50
1984-08-01  12.02
1984-09-01  12.39
1984-10-01  10.67
1984-11-01  10.53
1984-12-01  11.37
1985-01-01  11.05
1985-02-01  10.16
1985-03-01  10.43
1985-04-01  10.28
1985-05-01  10.19
1985-06-01   9.79
1985-07-01  10.74
1985-08-01  11.04
1985-09-01  11.50
1985-10-01  11.37
1985-11-01  10.91
1985-12-01  10.34
1986-01-01   9.51
1986-02-01   9.61
1986-03-01   8.74
1986-04-01   8.42
1986-05-01   9.25
1986-06-01   9.90
1986-07-01   9.56
1986-08-01   9.73
1986-09-01   9.89
1986-10-01  10.00
1986-11-01   9.74
1986-12-01   9.47
1987-01-01   9.37
1987-02-01   9.33
1987-03-01   9.31
1987-04-01  10.12
1987-05-01  10.81
1987-06-01  10.39
1987-07-01  10.19
1987-08-01  10.27
1987-09-01  10.53
1987-10-01  10.55
1987-11-01   9.95
1987-12-01  10.07
1988-01-01   9.54
1988-02-01   9.33
1988-03-01   9.57
1988-04-01  10.14
1988-05-01  10.52
1988-06-01  10.21
1988-07-01  10.37
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.89
1988-11-01   9.84
1988-12-01   9.80
1989-01-01   9.84
1989-02-01   9.93
1989-03-01   9.92
1989-04-01   9.74
1989-05-01   9.63
1989-06-01   9.25
1989-07-01   9.24
1989-08-01   9.23
1989-09-01   9.22
1989-10-01   9.11
1989-11-01   9.01
1989-12-01   8.95
1990-01-01   9.05
1990-02-01   9.30
1990-03-01   9.49
1990-04-01   9.62
1990-05-01   9.85
1990-06-01   9.67
1990-07-01   9.72
1990-08-01  10.38
1990-09-01  10.58
1990-10-01  10.66
1990-11-01  10.37
1990-12-01  10.03
1991-01-01   9.99
1991-02-01   9.64
1991-03-01   9.91
1991-04-01   9.72
1991-05-01   9.86
1991-06-01  10.09
1991-07-01  10.04
1991-08-01   9.75
1991-09-01   9.62
1991-10-01   9.84
1991-11-01   9.91
1991-12-01   9.91
1992-01-01   9.85
1992-02-01   9.84
1992-03-01   9.78
1992-04-01   9.73
1992-05-01   9.59
1992-06-01   9.55
1992-07-01   9.58
1992-08-01   9.53
1992-09-01   9.60
1992-10-01   9.95
1992-11-01   9.75
1992-12-01   9.34
1993-01-01   9.29
1993-02-01   9.02
1993-03-01   8.74
1993-04-01   8.89
1993-05-01   9.03
1993-06-01   8.86
1993-07-01   8.56
1993-08-01   8.07
1993-09-01   7.95
1993-10-01   7.97
1993-11-01   8.19
1993-12-01   8.12
1994-01-01   8.14
1994-02-01   8.21
1994-03-01   8.46
1994-04-01   8.73
1994-05-01   8.70
1994-06-01   8.80
1994-07-01   8.91
1994-08-01   8.84
1994-09-01   9.14
1994-10-01   9.24
1994-11-01   9.24
1994-12-01   8.82
1995-01-01   8.86
1995-02-01   8.81
1995-03-01   8.87
1995-04-01   8.87
1995-05-01   8.44
1995-06-01   8.12
1995-07-01   8.32
1995-08-01   8.44
1995-09-01   8.20
1995-10-01   7.92
1995-11-01   7.76
1995-12-01   7.56
1996-01-01   7.55
1996-02-01   7.90
1996-03-01   8.22
1996-04-01   8.34
1996-05-01   8.31
1996-06-01   8.39
1996-07-01   8.32
1996-08-01   8.13
1996-09-01   8.34
1996-10-01   8.12
1996-11-01   7.83
1996-12-01   7.88
1997-01-01   8.08
1997-02-01   7.97
1997-03-01   8.21
1997-04-01   8.40
1997-05-01   8.31
1997-06-01   8.16
1997-07-01   7.86
1997-08-01   7.88
1997-09-01   7.82
1997-10-01   7.68
1997-11-01   7.48
1997-12-01   7.30
1998-01-01   7.24
1998-02-01   7.32
1998-03-01   7.30
1998-04-01   7.25
1998-05-01   7.21
1998-06-01   6.98
1998-07-01   7.04
1998-08-01   7.08
1998-09-01   7.32
1998-10-01   7.50
1998-11-01   7.46
1998-12-01   7.21
1999-01-01   7.21
1999-02-01   7.23
1999-03-01   7.40
1999-04-01   7.39
1999-05-01   7.60
1999-06-01   7.82
1999-07-01   7.81
