Title:               5-Year High Quality Market (HQM) Corporate Bond Par Yield
Series ID:           HQMCB5YRP
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:52 AM CST
Notes:               The basic type of selected bond is analogous to conventional Treasury
                     coupon issues: a bond that pays a fixed semiannual nominal coupon
                     denominated in U.S. dollars until maturity, when the principal is
                     returned. The HQM yield curve uses data from a set of high quality
                     corporate bonds rated AAA, AA, or A that accurately represent the high
                     quality corporate bond market. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  11.98
1984-02-01  12.15
1984-03-01  12.51
1984-04-01  12.85
1984-05-01  13.57
1984-06-01  13.98
1984-07-01  13.90
1984-08-01  13.26
1984-09-01  13.13
1984-10-01  12.71
1984-11-01  12.19
1984-12-01  11.95
1985-01-01  11.84
1985-02-01  11.52
1985-03-01  11.85
1985-04-01  11.49
1985-05-01  11.04
1985-06-01  10.52
1985-07-01  10.55
1985-08-01  10.80
1985-09-01  10.79
1985-10-01  10.71
1985-11-01  10.39
1985-12-01   9.92
1986-01-01   9.78
1986-02-01   9.50
1986-03-01   8.91
1986-04-01   8.64
1986-05-01   8.77
1986-06-01   8.99
1986-07-01   8.47
1986-08-01   8.31
1986-09-01   8.28
1986-10-01   8.16
1986-11-01   7.88
1986-12-01   7.72
1987-01-01   7.66
1987-02-01   7.71
1987-03-01   7.68
1987-04-01   8.23
1987-05-01   8.83
1987-06-01   8.76
1987-07-01   8.71
1987-08-01   8.94
1987-09-01   9.52
1987-10-01   9.80
1987-11-01   9.28
1987-12-01   9.35
1988-01-01   9.14
1988-02-01   8.75
1988-03-01   8.79
1988-04-01   9.04
1988-05-01   9.21
1988-06-01   9.22
1988-07-01   9.33
1988-08-01   9.51
