Title:               6.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB6Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:52 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  12.45
1984-02-01  12.55
1984-03-01  12.95
1984-04-01  13.22
1984-05-01  13.89
1984-06-01  14.25
1984-07-01  14.15
1984-08-01  13.48
1984-09-01  13.28
1984-10-01  12.98
1984-11-01  12.51
1984-12-01  12.24
1985-01-01  12.15
1985-02-01  11.91
1985-03-01  12.28
1985-04-01  11.96
1985-05-01  11.58
1985-06-01  11.10
1985-07-01  11.08
1985-08-01  11.32
1985-09-01  11.27
1985-10-01  11.20
1985-11-01  10.87
1985-12-01  10.43
1986-01-01  10.20
1986-02-01   9.91
1986-03-01   9.33
1986-04-01   9.06
1986-05-01   9.13
1986-06-01   9.32
1986-07-01   8.84
1986-08-01   8.65
1986-09-01   8.65
1986-10-01   8.55
1986-11-01   8.27
1986-12-01   8.10
1987-01-01   8.02
1987-02-01   8.05
1987-03-01   8.00
1987-04-01   8.57
1987-05-01   9.15
1987-06-01   9.09
1987-07-01   9.08
1987-08-01   9.32
1987-09-01   9.90
1987-10-01  10.21
1987-11-01   9.75
1987-12-01   9.81
1988-01-01   9.60
1988-02-01   9.14
1988-03-01   9.19
1988-04-01   9.44
1988-05-01   9.63
1988-06-01   9.60
1988-07-01   9.67
1988-08-01   9.80
1988-09-01   9.64
1988-10-01   9.51
1988-11-01   9.70
1988-12-01   9.88
1989-01-01   9.91
1989-02-01   9.96
1989-03-01  10.17
1989-04-01  10.14
1989-05-01   9.85
1989-06-01   9.29
1989-07-01   8.99
1989-08-01   9.02
1989-09-01   9.15
1989-10-01   8.99
1989-11-01   8.87
1989-12-01   8.89
1990-01-01   9.18
1990-02-01   9.45
1990-03-01   9.54
1990-04-01   9.69
1990-05-01   9.70
1990-06-01   9.42
1990-07-01   9.45
1990-08-01   9.58
1990-09-01   9.71
1990-10-01   9.87
1990-11-01   9.74
1990-12-01   9.47
1991-01-01   9.43
1991-02-01   9.13
1991-03-01   9.12
1991-04-01   8.95
1991-05-01   8.97
1991-06-01   9.10
1991-07-01   9.14
1991-08-01   8.75
1991-09-01   8.44
1991-10-01   8.13
1991-11-01   8.05
1991-12-01   7.84
1992-01-01   7.77
1992-02-01   8.06
1992-03-01   8.25
1992-04-01   8.16
1992-05-01   8.08
1992-06-01   7.87
1992-07-01   7.43
1992-08-01   7.17
1992-09-01   6.97
1992-10-01   7.18
1992-11-01   7.57
1992-12-01   7.49
1993-01-01   7.31
1993-02-01   6.85
1993-03-01   6.58
1993-04-01   6.50
1993-05-01   6.51
1993-06-01   6.46
1993-07-01   6.27
1993-08-01   6.15
1993-09-01   5.82
1993-10-01   5.78
1993-11-01   6.10
1993-12-01   6.12
1994-01-01   6.04
1994-02-01   6.29
1994-03-01   6.84
1994-04-01   7.55
1994-05-01   7.74
1994-06-01   7.63
1994-07-01   7.81
1994-08-01   7.74
1994-09-01   7.96
1994-10-01   8.26
1994-11-01   8.51
1994-12-01   8.46
1995-01-01   8.48
1995-02-01   8.13
1995-03-01   7.81
1995-04-01   7.61
1995-05-01   7.15
1995-06-01   6.70
1995-07-01   6.81
1995-08-01   7.03
1995-09-01   6.75
1995-10-01   6.57
1995-11-01   6.43
1995-12-01   6.24
1996-01-01   6.14
1996-02-01   6.22
1996-03-01   6.76
1996-04-01   7.04
1996-05-01   7.21
1996-06-01   7.38
1996-07-01   7.31
