Title:               24.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB24Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  10.54
1984-02-01  11.39
1984-03-01  11.77
1984-04-01  11.94
1984-05-01  12.64
1984-06-01  12.74
1984-07-01  12.69
1984-08-01  12.26
1984-09-01  12.46
1984-10-01  11.39
1984-11-01  11.20
1984-12-01  11.71
1985-01-01  11.45
1985-02-01  10.89
1985-03-01  11.17
1985-04-01  10.97
1985-05-01  10.81
1985-06-01  10.42
1985-07-01  11.04
1985-08-01  11.19
1985-09-01  11.49
1985-10-01  11.32
1985-11-01  10.87
1985-12-01  10.43
1986-01-01   9.72
1986-02-01   9.74
1986-03-01   9.04
1986-04-01   8.71
1986-05-01   9.23
1986-06-01   9.70
1986-07-01   9.54
1986-08-01   9.60
1986-09-01   9.72
1986-10-01   9.85
1986-11-01   9.65
1986-12-01   9.39
1987-01-01   9.18
1987-02-01   9.16
1987-03-01   9.11
1987-04-01   9.84
1987-05-01  10.44
1987-06-01  10.19
1987-07-01  10.13
1987-08-01  10.27
1987-09-01  10.61
1987-10-01  10.67
1987-11-01  10.09
1987-12-01  10.18
1988-01-01   9.73
1988-02-01   9.44
1988-03-01   9.61
