Title:               30-Year 3-5/8% Treasury Inflation-Indexed Bond, Due 4/15/2028©
Series ID:           TP30A28
Source:              Haver Analytics
Release:             Monthly Treasury Inflation-Indexed Securities (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1998-05-01 to 2016-12-01
Last Updated:        2017-01-03 8:56 AM CST
Notes:               Treasury Inflation-Protected Securities, or TIPS, are securities whose
                     principal is tied to the Consumer Price Index (CPI). The principal
                     increases with inflation and decreases with deflation. When the
                     security matures, the U.S. Treasury pays the original or adjusted
                     principal, whichever is greater.
                     
                     Averages of business days. Yield to maturity on accrued principal.
                     
                     Calculated from data provided by the Wall Street Journal.
                     
                     Copyright, 2016, Haver Analytics. Reprinted with permission.

DATE        VALUE
1998-05-01   3.67
1998-06-01   3.66
1998-07-01   3.68
1998-08-01   3.72
1998-09-01   3.70
1998-10-01   3.64
1998-11-01   3.69
1998-12-01   3.73
1999-01-01   3.73
1999-02-01   3.70
1999-03-01   3.83
1999-04-01   3.87
1999-05-01   3.86
1999-06-01   3.92
1999-07-01   3.98
1999-08-01   4.01
1999-09-01   4.06
1999-10-01   4.13
1999-11-01   4.11
1999-12-01   4.21
2000-01-01   4.34
2000-02-01   4.15
2000-03-01   4.08
2000-04-01   3.89
2000-05-01   3.97
2000-06-01   3.92
2000-07-01   3.86
2000-08-01   3.87
2000-09-01   3.92
2000-10-01   3.89
2000-11-01   3.85
2000-12-01   3.74
2001-01-01   3.63
2001-02-01   3.52
2001-03-01   3.47
2001-04-01   3.55
2001-05-01   3.48
2001-06-01   3.47
2001-07-01   3.48
2001-08-01   3.42
2001-09-01   3.43
2001-10-01   3.44
2001-11-01   3.31
2001-12-01   3.52
2002-01-01   3.49
2002-02-01   3.47
2002-03-01   3.51
2002-04-01   3.40
2002-05-01   3.34
2002-06-01   3.20
2002-07-01   3.14
2002-08-01   2.91
2002-09-01   2.71
2002-10-01   2.89
2002-11-01   2.93
2002-12-01   2.85
2003-01-01   2.75
2003-02-01   2.54
2003-03-01   2.53
2003-04-01   2.75
2003-05-01   2.44
2003-06-01   2.30
2003-07-01   2.67
2003-08-01   2.82
2003-09-01   2.70
2003-10-01   2.61
2003-11-01   2.43
2003-12-01   2.35
2004-01-01   2.27
2004-02-01   2.18
2004-03-01   1.96
2004-04-01   2.30
2004-05-01   2.48
2004-06-01   2.46
2004-07-01   2.39
2004-08-01   2.28
2004-09-01   2.20
2004-10-01   2.17
2004-11-01   2.12
2004-12-01   2.03
2005-01-01   1.97
2005-02-01   1.86
2005-03-01   1.96
2005-04-01   1.88
2005-05-01   1.81
2005-06-01   1.77
2005-07-01   1.96
2005-08-01   2.00
2005-09-01   1.91
2005-10-01   2.08
2005-11-01   2.13
2005-12-01   2.11
2006-01-01   2.01
2006-02-01   1.96
2006-03-01   2.13
2006-04-01   2.39
2006-05-01   2.45
2006-06-01   2.49
2006-07-01   2.46
2006-08-01   2.26
2006-09-01   2.25
2006-10-01   2.33
2006-11-01   2.18
2006-12-01   2.23
2007-01-01   2.40
2007-02-01   2.36
2007-03-01   2.25
2007-04-01   2.34
2007-05-01   2.44
2007-06-01   2.66
2007-07-01   2.61
2007-08-01   2.47
2007-09-01   2.29
2007-10-01   2.26
2007-11-01   1.98
2007-12-01   2.07
2008-01-01   1.81
