Title:               7-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB7YR
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:53 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  12.56
1984-02-01  12.61
1984-03-01  13.01
1984-04-01  13.26
1984-05-01  13.88
1984-06-01  14.20
1984-07-01  14.11
1984-08-01  13.47
1984-09-01  13.25
1984-10-01  13.03
1984-11-01  12.58
1984-12-01  12.29
1985-01-01  12.20
1985-02-01  12.01
1985-03-01  12.39
1985-04-01  12.06
1985-05-01  11.69
1985-06-01  11.23
1985-07-01  11.18
1985-08-01  11.39
1985-09-01  11.33
1985-10-01  11.25
1985-11-01  10.92
1985-12-01  10.50
1986-01-01  10.26
1986-02-01   9.96
1986-03-01   9.42
1986-04-01   9.13
1986-05-01   9.17
1986-06-01   9.34
1986-07-01   8.92
1986-08-01   8.72
1986-09-01   8.73
1986-10-01   8.65
1986-11-01   8.39
1986-12-01   8.21
1987-01-01   8.09
1987-02-01   8.13
1987-03-01   8.07
1987-04-01   8.63
1987-05-01   9.20
1987-06-01   9.16
1987-07-01   9.17
1987-08-01   9.42
1987-09-01  10.00
1987-10-01  10.31
1987-11-01   9.84
1987-12-01   9.90
1988-01-01   9.69
1988-02-01   9.22
1988-03-01   9.26
1988-04-01   9.51
1988-05-01   9.70
1988-06-01   9.67
1988-07-01   9.74
1988-08-01   9.86
1988-09-01   9.69
1988-10-01   9.56
1988-11-01   9.73
1988-12-01   9.89
1989-01-01   9.91
1989-02-01   9.96
1989-03-01  10.16
1989-04-01  10.11
1989-05-01   9.84
1989-06-01   9.28
1989-07-01   8.98
1989-08-01   9.01
1989-09-01   9.14
1989-10-01   8.99
1989-11-01   8.87
1989-12-01   8.90
1990-01-01   9.19
1990-02-01   9.46
1990-03-01   9.54
1990-04-01   9.68
1990-05-01   9.69
1990-06-01   9.42
1990-07-01   9.46
1990-08-01   9.59
1990-09-01   9.73
1990-10-01   9.88
1990-11-01   9.75
1990-12-01   9.49
1991-01-01   9.45
1991-02-01   9.15
1991-03-01   9.15
1991-04-01   8.99
1991-05-01   9.01
1991-06-01   9.14
1991-07-01   9.17
1991-08-01   8.80
1991-09-01   8.50
1991-10-01   8.22
1991-11-01   8.15
1991-12-01   7.93
1992-01-01   7.85
1992-02-01   8.13
1992-03-01   8.32
1992-04-01   8.23
1992-05-01   8.16
1992-06-01   7.96
1992-07-01   7.52
1992-08-01   7.27
1992-09-01   7.07
1992-10-01   7.28
1992-11-01   7.65
1992-12-01   7.57
1993-01-01   7.40
1993-02-01   6.95
1993-03-01   6.67
1993-04-01   6.60
1993-05-01   6.60
1993-06-01   6.55
1993-07-01   6.36
1993-08-01   6.23
1993-09-01   5.89
1993-10-01   5.85
1993-11-01   6.18
1993-12-01   6.20
1994-01-01   6.13
1994-02-01   6.38
1994-03-01   6.92
1994-04-01   7.62
1994-05-01   7.80
1994-06-01   7.69
1994-07-01   7.87
1994-08-01   7.80
1994-09-01   8.01
1994-10-01   8.31
1994-11-01   8.55
1994-12-01   8.48
1995-01-01   8.49
1995-02-01   8.15
1995-03-01   7.83
1995-04-01   7.65
1995-05-01   7.18
1995-06-01   6.74
1995-07-01   6.85
1995-08-01   7.07
1995-09-01   6.78
1995-10-01   6.60
1995-11-01   6.47
1995-12-01   6.28
1996-01-01   6.19
1996-02-01   6.28
1996-03-01   6.81
1996-04-01   7.08
1996-05-01   7.25
1996-06-01   7.43
1996-07-01   7.36
1996-08-01   7.12
1996-09-01   7.33
1996-10-01   7.01
1996-11-01   6.68
1996-12-01   6.81
1997-01-01   7.07
1997-02-01   6.90
1997-03-01   7.19
1997-04-01   7.41
1997-05-01   7.23
1997-06-01   7.00
1997-07-01   6.74
1997-08-01   6.83
1997-09-01   6.75
1997-10-01   6.61
1997-11-01   6.54
1997-12-01   6.48
1998-01-01   6.19
1998-02-01   6.27
1998-03-01   6.33
1998-04-01   6.32
1998-05-01   6.33
1998-06-01   6.21
1998-07-01   6.19
1998-08-01   6.14
1998-09-01   5.80
1998-10-01   5.80
1998-11-01   5.96
1998-12-01   5.75
1999-01-01   5.78
1999-02-01   6.03
1999-03-01   6.27
1999-04-01   6.20
1999-05-01   6.57
1999-06-01   7.03
1999-07-01   6.95
1999-08-01   7.24
1999-09-01   7.18
1999-10-01   7.36
1999-11-01   7.17
1999-12-01   7.37
2000-01-01   7.74
2000-02-01   7.83
2000-03-01   7.74
2000-04-01   7.64
2000-05-01   8.20
2000-06-01   7.83
2000-07-01   7.74
2000-08-01   7.57
2000-09-01   7.48
2000-10-01   7.46
2000-11-01   7.48
2000-12-01   7.06
2001-01-01   6.80
2001-02-01   6.71
2001-03-01   6.48
2001-04-01   6.63
2001-05-01   6.76
2001-06-01   6.62
2001-07-01   6.57
2001-08-01   6.32
2001-09-01   6.24
2001-10-01   6.01
2001-11-01   5.95
2001-12-01   6.32
2002-01-01   6.21
2002-02-01   6.13
2002-03-01   6.41
2002-04-01   6.32
2002-05-01   6.24
2002-06-01   5.93
2002-07-01   5.79
2002-08-01   5.54
2002-09-01   5.11
2002-10-01   5.34
2002-11-01   5.20
2002-12-01   5.05
2003-01-01   4.96
2003-02-01   4.74
2003-03-01   4.60
2003-04-01   4.63
2003-05-01   4.14
2003-06-01   3.85
2003-07-01   4.46
2003-08-01   5.04
2003-09-01   4.81
2003-10-01   4.76
2003-11-01   4.75
2003-12-01   4.70
2004-01-01   4.54
2004-02-01   4.50
2004-03-01   4.21
2004-04-01   4.79
2004-05-01   5.27
2004-06-01   5.31
2004-07-01   5.05
2004-08-01   4.84
2004-09-01   4.63
2004-10-01   4.59
2004-11-01   4.65
2004-12-01   4.64
2005-01-01   4.67
2005-02-01   4.63
2005-03-01   5.00
2005-04-01   4.92
2005-05-01   4.77
2005-06-01   4.64
2005-07-01   4.81
2005-08-01   4.88
2005-09-01   4.84
2005-10-01   5.14
2005-11-01   5.27
2005-12-01   5.23
2006-01-01   5.19
2006-02-01   5.36
2006-03-01   5.51
2006-04-01   5.74
2006-05-01   5.85
2006-06-01   5.91
2006-07-01   5.89
2006-08-01   5.67
2006-09-01   5.50
2006-10-01   5.50
2006-11-01   5.35
2006-12-01   5.29
2007-01-01   5.48
2007-02-01   5.43
2007-03-01   5.31
2007-04-01   5.45
2007-05-01   5.51
2007-06-01   5.92
2007-07-01   5.94
2007-08-01   5.86
2007-09-01   5.78
2007-10-01   5.67
2007-11-01   5.63
2007-12-01   5.68
2008-01-01   5.38
2008-02-01   5.44
2008-03-01   5.65
2008-04-01   5.63
2008-05-01   5.69
2008-06-01   6.05
2008-07-01   6.41
2008-08-01   6.43
2008-09-01   7.06
2008-10-01   8.50
2008-11-01   7.81
2008-12-01   6.87
2009-01-01   6.33
2009-02-01   6.73
2009-03-01   7.36
2009-04-01   6.72
2009-05-01   6.36
2009-06-01   6.02
2009-07-01   5.51
2009-08-01   5.13
2009-09-01   4.80
2009-10-01   4.76
2009-11-01   4.64
2009-12-01   4.67
2010-01-01   4.66
2010-02-01   4.76
2010-03-01   4.68
2010-04-01   4.67
2010-05-01   4.56
2010-06-01   4.49
2010-07-01   4.14
2010-08-01   3.76
2010-09-01   3.72
2010-10-01   3.52
2010-11-01   3.68
2010-12-01   4.25
2011-01-01   4.20
2011-02-01   4.33
2011-03-01   4.19
2011-04-01   4.22
2011-05-01   3.94
2011-06-01   3.90
2011-07-01   3.88
2011-08-01   3.66
2011-09-01   3.61
2011-10-01   3.72
2011-11-01   3.59
2011-12-01   3.62
2012-01-01   3.41
2012-02-01   3.17
2012-03-01   3.23
2012-04-01   3.15
2012-05-01   3.05
2012-06-01   2.95
2012-07-01   2.49
2012-08-01   2.48
2012-09-01   2.40
2012-10-01   2.26
2012-11-01   2.20
2012-12-01   2.26
2013-01-01   2.38
2013-02-01   2.45
2013-03-01   2.43
2013-04-01   2.27
2013-05-01   2.41
2013-06-01   2.96
2013-07-01   3.21
2013-08-01   3.35
2013-09-01   3.46
2013-10-01   3.19
2013-11-01   3.20
2013-12-01   3.31
2014-01-01   3.22
2014-02-01   3.09
2014-03-01   3.13
2014-04-01   3.10
2014-05-01   2.95
2014-06-01   3.00
2014-07-01   2.96
2014-08-01   2.89
2014-09-01   3.06
2014-10-01   2.89
2014-11-01   2.99
2014-12-01   2.94
2015-01-01   2.64
2015-02-01   2.66
2015-03-01   2.72
2015-04-01   2.58
2015-05-01   2.85
2015-06-01   3.15
2015-07-01   3.18
2015-08-01   3.14
2015-09-01   3.11
2015-10-01   3.00
2015-11-01   3.13
2015-12-01   3.09
2016-01-01   3.00
2016-02-01   2.84
2016-03-01   2.78
2016-04-01   2.55
2016-05-01   2.56
2016-06-01   2.45
2016-07-01   2.29
2016-08-01   2.30
2016-09-01   2.37
2016-10-01   2.48
2016-11-01   2.87
