Title:               45.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB45Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:52 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   9.21
1984-02-01  10.68
1984-03-01  11.06
1984-04-01  11.34
1984-05-01  12.32
1984-06-01  12.56
1984-07-01  12.43
1984-08-01  11.93
1984-09-01  12.36
1984-10-01  10.42
1984-11-01  10.30
1984-12-01  11.24
1985-01-01  10.90
1985-02-01   9.91
1985-03-01  10.16
1985-04-01  10.03
1985-05-01   9.98
1985-06-01   9.57
1985-07-01  10.63
1985-08-01  10.99
1985-09-01  11.51
1985-10-01  11.39
1985-11-01  10.92
1985-12-01  10.31
1986-01-01   9.43
1986-02-01   9.56
1986-03-01   8.63
1986-04-01   8.32
1986-05-01   9.26
1986-06-01   9.97
1986-07-01   9.57
1986-08-01   9.77
1986-09-01   9.95
1986-10-01  10.05
1986-11-01   9.78
1986-12-01   9.50
1987-01-01   9.44
1987-02-01   9.39
1987-03-01   9.38
1987-04-01  10.22
1987-05-01  10.94
1987-06-01  10.46
1987-07-01  10.21
1987-08-01  10.28
1987-09-01  10.50
1987-10-01  10.51
1987-11-01   9.91
1987-12-01  10.03
1988-01-01   9.48
1988-02-01   9.30
1988-03-01   9.56
1988-04-01  10.16
1988-05-01  10.56
1988-06-01  10.22
1988-07-01  10.39
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.90
1988-11-01   9.84
1988-12-01   9.79
1989-01-01   9.84
1989-02-01   9.93
1989-03-01   9.91
1989-04-01   9.73
1989-05-01   9.63
1989-06-01   9.25
1989-07-01   9.27
1989-08-01   9.26
1989-09-01   9.24
1989-10-01   9.13
1989-11-01   9.02
1989-12-01   8.96
1990-01-01   9.04
1990-02-01   9.28
1990-03-01   9.50
1990-04-01   9.62
1990-05-01   9.88
1990-06-01   9.70
1990-07-01   9.75
1990-08-01  10.45
1990-09-01  10.67
1990-10-01  10.75
1990-11-01  10.43
1990-12-01  10.09
1991-01-01  10.04
1991-02-01   9.67
1991-03-01   9.96
1991-04-01   9.77
1991-05-01   9.93
1991-06-01  10.17
1991-07-01  10.12
1991-08-01   9.82
1991-09-01   9.69
1991-10-01   9.94
1991-11-01  10.02
1991-12-01  10.06
1992-01-01  10.02
1992-02-01   9.97
1992-03-01   9.90
1992-04-01   9.85
1992-05-01   9.70
1992-06-01   9.67
1992-07-01   9.74
1992-08-01   9.70
1992-09-01   9.80
1992-10-01  10.17
1992-11-01   9.93
1992-12-01   9.48
1993-01-01   9.44
1993-02-01   9.18
1993-03-01   8.89
1993-04-01   9.07
1993-05-01   9.22
1993-06-01   9.03
1993-07-01   8.72
1993-08-01   8.20
1993-09-01   8.10
1993-10-01   8.13
1993-11-01   8.34
1993-12-01   8.25
1994-01-01   8.27
1994-02-01   8.33
1994-03-01   8.55
1994-04-01   8.80
1994-05-01   8.75
1994-06-01   8.87
1994-07-01   8.97
1994-08-01   8.91
1994-09-01   9.22
1994-10-01   9.29
1994-11-01   9.28
1994-12-01   8.84
1995-01-01   8.89
1995-02-01   8.86
1995-03-01   8.95
1995-04-01   8.96
1995-05-01   8.53
1995-06-01   8.22
1995-07-01   8.44
1995-08-01   8.54
1995-09-01   8.31
1995-10-01   8.02
1995-11-01   7.86
1995-12-01   7.65
1996-01-01   7.65
1996-02-01   8.01
1996-03-01   8.32
1996-04-01   8.44
1996-05-01   8.38
1996-06-01   8.45
1996-07-01   8.38
1996-08-01   8.19
1996-09-01   8.40
1996-10-01   8.20
1996-11-01   7.91
1996-12-01   7.96
1997-01-01   8.14
1997-02-01   8.04
1997-03-01   8.29
1997-04-01   8.48
1997-05-01   8.39
1997-06-01   8.25
1997-07-01   7.94
1997-08-01   7.96
1997-09-01   7.91
1997-10-01   7.77
1997-11-01   7.56
1997-12-01   7.37
1998-01-01   7.32
1998-02-01   7.40
1998-03-01   7.38
1998-04-01   7.32
1998-05-01   7.27
1998-06-01   7.04
1998-07-01   7.11
1998-08-01   7.15
1998-09-01   7.43
1998-10-01   7.64
1998-11-01   7.58
1998-12-01   7.33
1999-01-01   7.32
1999-02-01   7.32
1999-03-01   7.48
1999-04-01   7.48
1999-05-01   7.66
1999-06-01   7.87
1999-07-01   7.86
1999-08-01   8.07
1999-09-01   8.23
1999-10-01   8.36
1999-11-01   8.04
1999-12-01   8.12
2000-01-01   8.12
2000-02-01   7.97
2000-03-01   8.15
2000-04-01   8.22
2000-05-01   8.56
2000-06-01   8.16
2000-07-01   8.02
