Title:               18.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB18Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:51 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01  11.57
1984-02-01  11.93
1984-03-01  12.31
1984-04-01  12.38
1984-05-01  12.86
1984-06-01  12.85
1984-07-01  12.87
1984-08-01  12.50
1984-09-01  12.51
1984-10-01  12.12
1984-11-01  11.89
1984-12-01  12.07
1985-01-01  11.87
1985-02-01  11.65
1985-03-01  11.96
1985-04-01  11.69
1985-05-01  11.46
1985-06-01  11.09
1985-07-01  11.37
1985-08-01  11.34
1985-09-01  11.47
1985-10-01  11.25
1985-11-01  10.83
1985-12-01  10.51
1986-01-01   9.93
1986-02-01   9.87
1986-03-01   9.35
1986-04-01   9.00
1986-05-01   9.20
1986-06-01   9.49
1986-07-01   9.53
1986-08-01   9.47
1986-09-01   9.57
1986-10-01   9.72
1986-11-01   9.58
1986-12-01   9.33
1987-01-01   8.98
1987-02-01   9.00
1987-03-01   8.91
1987-04-01   9.56
1987-05-01  10.07
1987-06-01  10.00
1987-07-01  10.08
1987-08-01  10.28
1987-09-01  10.70
1987-10-01  10.81
1987-11-01  10.25
1987-12-01  10.30
1988-01-01   9.93
1988-02-01   9.55
1988-03-01   9.66
1988-04-01   9.99
1988-05-01  10.33
1988-06-01  10.16
1988-07-01  10.25
1988-08-01  10.29
1988-09-01  10.07
1988-10-01   9.88
1988-11-01   9.86
1988-12-01   9.87
1989-01-01   9.82
1989-02-01   9.87
1989-03-01   9.97
1989-04-01   9.80
1989-05-01   9.65
1989-06-01   9.23
1989-07-01   9.06
1989-08-01   9.05
1989-09-01   9.11
1989-10-01   9.00
1989-11-01   8.92
1989-12-01   8.95
1990-01-01   9.15
1990-02-01   9.38
1990-03-01   9.46
1990-04-01   9.59
1990-05-01   9.68
1990-06-01   9.50
1990-07-01   9.51
1990-08-01   9.93
1990-09-01  10.10
1990-10-01  10.13
1990-11-01   9.97
1990-12-01   9.72
1991-01-01   9.69
1991-02-01   9.43
1991-03-01   9.61
1991-04-01   9.45
1991-05-01   9.48
1991-06-01   9.63
1991-07-01   9.61
1991-08-01   9.37
1991-09-01   9.23
1991-10-01   9.28
1991-11-01   9.29
1991-12-01   9.03
1992-01-01   8.89
1992-02-01   9.06
1992-03-01   9.10
1992-04-01   9.04
1992-05-01   8.97
1992-06-01   8.86
1992-07-01   8.71
1992-08-01   8.54
1992-09-01   8.48
1992-10-01   8.69
1992-11-01   8.75
1992-12-01   8.54
1993-01-01   8.43
1993-02-01   8.13
1993-03-01   7.87
1993-04-01   7.91
1993-05-01   7.99
1993-06-01   7.87
1993-07-01   7.64
1993-08-01   7.36
1993-09-01   7.12
1993-10-01   7.10
1993-11-01   7.40
1993-12-01   7.39
1994-01-01   7.38
1994-02-01   7.53
1994-03-01   7.93
1994-04-01   8.32
1994-05-01   8.42
1994-06-01   8.42
1994-07-01   8.57
1994-08-01   8.49
1994-09-01   8.74
1994-10-01   8.94
1994-11-01   9.01
1994-12-01   8.72
1995-01-01   8.70
1995-02-01   8.51
1995-03-01   8.41
1995-04-01   8.34
1995-05-01   7.92
1995-06-01   7.55
1995-07-01   7.69
1995-08-01   7.86
1995-09-01   7.57
1995-10-01   7.35
1995-11-01   7.25
1995-12-01   7.02
1996-01-01   7.01
1996-02-01   7.29
1996-03-01   7.64
1996-04-01   7.80
1996-05-01   7.92
1996-06-01   8.05
1996-07-01   8.00
1996-08-01   7.78
1996-09-01   7.97
1996-10-01   7.71
1996-11-01   7.38
1996-12-01   7.47
1997-01-01   7.71
1997-02-01   7.57
1997-03-01   7.81
1997-04-01   7.99
1997-05-01   7.86
1997-06-01   7.66
1997-07-01   7.36
1997-08-01   7.43
1997-09-01   7.33
1997-10-01   7.19
1997-11-01   7.04
1997-12-01   6.92
1998-01-01   6.80
1998-02-01   6.87
1998-03-01   6.90
1998-04-01   6.86
1998-05-01   6.85
1998-06-01   6.65
1998-07-01   6.69
1998-08-01   6.73
1998-09-01   6.70
1998-10-01   6.71
1998-11-01   6.82
1998-12-01   6.58
1999-01-01   6.59
1999-02-01   6.74
1999-03-01   6.93
1999-04-01   6.91
1999-05-01   7.23
1999-06-01   7.57
1999-07-01   7.52
1999-08-01   7.72
1999-09-01   7.75
1999-10-01   7.88
1999-11-01   7.66
1999-12-01   7.85
2000-01-01   8.08
2000-02-01   7.93
2000-03-01   7.95
2000-04-01   7.95
2000-05-01   8.40
2000-06-01   8.06
2000-07-01   7.96
2000-08-01   7.87
2000-09-01   8.03
2000-10-01   8.09
2000-11-01   8.04
2000-12-01   7.80
2001-01-01   7.60
2001-02-01   7.50
2001-03-01   7.40
2001-04-01   7.67
2001-05-01   7.65
2001-06-01   7.49
2001-07-01   7.45
2001-08-01   7.29
2001-09-01   7.60
2001-10-01   7.30
2001-11-01   6.99
2001-12-01   7.15
2002-01-01   7.02
2002-02-01   6.94
2002-03-01   7.21
2002-04-01   7.22
2002-05-01   7.25
2002-06-01   7.10
2002-07-01   7.20
2002-08-01   7.07
2002-09-01   6.71
2002-10-01   6.91
2002-11-01   6.71
2002-12-01   6.54
2003-01-01   6.46
2003-02-01   6.30
2003-03-01   6.27
2003-04-01   6.24
2003-05-01   5.79
2003-06-01   5.61
2003-07-01   6.19
2003-08-01   6.63
2003-09-01   6.41
2003-10-01   6.39
2003-11-01   6.31
2003-12-01   6.26
2004-01-01   6.14
2004-02-01   6.10
2004-03-01   5.91
2004-04-01   6.32
2004-05-01   6.65
2004-06-01   6.61
2004-07-01   6.42
2004-08-01   6.24
2004-09-01   6.05
2004-10-01   6.00
2004-11-01   5.99
2004-12-01   5.93
2005-01-01   5.80
2005-02-01   5.59
2005-03-01   5.83
2005-04-01   5.76
2005-05-01   5.63
2005-06-01   5.42
2005-07-01   5.53
2005-08-01   5.56
2005-09-01   5.60
2005-10-01   5.83
2005-11-01   5.91
2005-12-01   5.84
2006-01-01   5.77
2006-02-01   5.83
2006-03-01   6.01
2006-04-01   6.34
2006-05-01   6.47
2006-06-01   6.47
2006-07-01   6.45
2006-08-01   6.25
2006-09-01   6.09
2006-10-01   6.07
2006-11-01   5.86
2006-12-01   5.85
2007-01-01   6.01
2007-02-01   5.98
2007-03-01   5.96
2007-04-01   6.09
2007-05-01   6.10
2007-06-01   6.42
2007-07-01   6.43
2007-08-01   6.44
2007-09-01   6.36
2007-10-01   6.24
2007-11-01   6.28
2007-12-01   6.45
2008-01-01   6.44
2008-02-01   6.69
2008-03-01   6.82
2008-04-01   6.71
2008-05-01   6.73
2008-06-01   6.95
2008-07-01   7.10
2008-08-01   7.05
2008-09-01   7.35
2008-10-01   8.32
2008-11-01   8.21
2008-12-01   7.04
2009-01-01   6.87
2009-02-01   7.20
2009-03-01   7.66
2009-04-01   7.26
2009-05-01   7.20
2009-06-01   6.81
2009-07-01   6.63
2009-08-01   6.32
2009-09-01   6.06
2009-10-01   6.02
2009-11-01   6.11
2009-12-01   6.24
2010-01-01   6.23
2010-02-01   6.37
2010-03-01   6.26
2010-04-01   6.18
2010-05-01   5.96
2010-06-01   5.92
2010-07-01   5.73
2010-08-01   5.49
2010-09-01   5.48
2010-10-01   5.58
2010-11-01   5.79
2010-12-01   5.94
2011-01-01   5.95
2011-02-01   6.04
2011-03-01   5.95
2011-04-01   5.93
2011-05-01   5.71
2011-06-01   5.75
2011-07-01   5.73
