Title:               55.5-Year High Quality Market (HQM) Corporate Bond Spot Rate
Series ID:           HQMCB55Y6M
Source:              U.S. Department of the Treasury
Release:             Corporate Bond Yield Curve (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Percent
Date Range:          1984-01-01 to 2016-11-01
Last Updated:        2017-01-04 11:52 AM CST
Notes:               The spot rate for any maturity is defined as the yield on a bond that
                     gives a single payment at that maturity. This is called a zero coupon
                     bond. Because high quality zero coupon bonds are not generally
                     available, the HQM methodology computes the spot rates so as to make
                     them consistent with the yields on other high quality bonds. The HQM
                     yield curve uses data from a set of high quality corporate bonds rated
                     AAA, AA, or A that accurately represent the high quality corporate
                     bond market. 
                     
                     The HQM methodology projects yields beyond 30 years maturity out to
                     100 years maturity to get discount rates for long-dated pension
                     liabilities. 
                     
                      For more information see
                     https://www.treasury.gov/resource-center/economic-policy/corp-bond-yield/Pages/Corp-Yield-Bond-Curve-Papers.aspx

DATE        VALUE
1984-01-01   8.93
1984-02-01  10.53
1984-03-01  10.91
1984-04-01  11.22
1984-05-01  12.26
1984-06-01  12.52
1984-07-01  12.37
1984-08-01  11.87
1984-09-01  12.34
1984-10-01  10.22
1984-11-01  10.11
1984-12-01  11.15
1985-01-01  10.79
1985-02-01   9.71
1985-03-01   9.96
1985-04-01   9.84
1985-05-01   9.81
1985-06-01   9.39
1985-07-01  10.55
1985-08-01  10.95
1985-09-01  11.51
1985-10-01  11.41
1985-11-01  10.93
1985-12-01  10.29
1986-01-01   9.37
1986-02-01   9.53
1986-03-01   8.55
1986-04-01   8.24
1986-05-01   9.27
1986-06-01  10.02
1986-07-01   9.58
1986-08-01   9.81
1986-09-01   9.99
1986-10-01  10.09
1986-11-01   9.80
1986-12-01   9.52
1987-01-01   9.50
1987-02-01   9.44
1987-03-01   9.44
1987-04-01  10.29
1987-05-01  11.04
1987-06-01  10.52
1987-07-01  10.23
1987-08-01  10.28
1987-09-01  10.48
1987-10-01  10.48
1987-11-01   9.87
1987-12-01  10.00
1988-01-01   9.42
1988-02-01   9.27
1988-03-01   9.55
1988-04-01  10.18
1988-05-01  10.58
1988-06-01  10.23
1988-07-01  10.41
1988-08-01  10.28
1988-09-01  10.05
1988-10-01   9.90
1988-11-01   9.84
1988-12-01   9.78
1989-01-01   9.84
1989-02-01   9.94
1989-03-01   9.91
1989-04-01   9.72
1989-05-01   9.62
1989-06-01   9.25
1989-07-01   9.30
1989-08-01   9.28
1989-09-01   9.25
1989-10-01   9.15
1989-11-01   9.03
1989-12-01   8.96
1990-01-01   9.03
1990-02-01   9.27
1990-03-01   9.50
1990-04-01   9.63
1990-05-01   9.90
1990-06-01   9.72
1990-07-01   9.78
1990-08-01  10.52
1990-09-01  10.73
1990-10-01  10.82
1990-11-01  10.49
1990-12-01  10.13
1991-01-01  10.08
1991-02-01   9.70
1991-03-01  10.00
1991-04-01   9.81
1991-05-01   9.98
1991-06-01  10.24
1991-07-01  10.18
1991-08-01   9.87
1991-09-01   9.75
1991-10-01  10.02
1991-11-01  10.11
1991-12-01  10.18
1992-01-01  10.16
1992-02-01  10.08
1992-03-01  10.00
1992-04-01   9.94
1992-05-01   9.79
1992-06-01   9.77
1992-07-01   9.86
1992-08-01   9.84
1992-09-01   9.96
1992-10-01  10.35
1992-11-01  10.07
1992-12-01   9.59
1993-01-01   9.56
1993-02-01   9.31
1993-03-01   9.02
1993-04-01   9.20
1993-05-01   9.36
1993-06-01   9.17
1993-07-01   8.85
1993-08-01   8.30
1993-09-01   8.22
1993-10-01   8.25
1993-11-01   8.45
1993-12-01   8.36
1994-01-01   8.38
1994-02-01   8.42
1994-03-01   8.63
1994-04-01   8.86
1994-05-01   8.79
1994-06-01   8.93
1994-07-01   9.02
1994-08-01   8.96
1994-09-01   9.27
1994-10-01   9.34
1994-11-01   9.31
1994-12-01   8.86
1995-01-01   8.91
1995-02-01   8.90
1995-03-01   9.01
1995-04-01   9.04
1995-05-01   8.60
1995-06-01   8.30
1995-07-01   8.53
1995-08-01   8.62
1995-09-01   8.40
1995-10-01   8.10
1995-11-01   7.93
1995-12-01   7.73
1996-01-01   7.73
1996-02-01   8.09
1996-03-01   8.41
1996-04-01   8.52
1996-05-01   8.44
1996-06-01   8.50
1996-07-01   8.43
1996-08-01   8.24
1996-09-01   8.45
1996-10-01   8.25
1996-11-01   7.97
1996-12-01   8.01
1997-01-01   8.19
1997-02-01   8.10
1997-03-01   8.34
1997-04-01   8.53
1997-05-01   8.45
1997-06-01   8.32
1997-07-01   8.01
1997-08-01   8.03
1997-09-01   7.98
1997-10-01   7.84
1997-11-01   7.62
1997-12-01   7.42
